emancipation-nn' emancipate-vb'
robbery-nn' rob-vb'
replication-nn' replicate-vb'
shuffler-nn' shuffle-vb'
instilment-nn' instil-vb'
ballot-nn' ballot-vb'
pillory-nn' pillory-vb'
speckle-nn' speckle-vb'
coalescency-nn' coalesce-vb'
cajolery-nn' cajole-vb'
fringe-nn' fringe-vb'
magnitude-nn' magnify-vb'
screener-nn' screen-vb'
barrack-nn' barrack-vb'
legitimation-nn' legitimate-vb'
gradation-nn' grade-vb'
gradation-nn' gradate-vb'
junket-nn' junket-vb'
proposal-nn' propose-vb'
truckage-nn' truck-vb'
rebuff-nn' rebuff-vb'
purl-nn' purl-vb'
drawler-nn' drawl-vb'
wilt-nn' wilt-vb'
promulgation-nn' promulgate-vb'
panelling-nn' panel-vb'
prefixation-nn' prefix-vb'
bidder-nn' bid-vb'
rabbit-nn' rabbit-vb'
compound-nn' compound-vb'
bribery-nn' bribe-vb'
privatisation-nn' privatise-vb'
kicker-nn' kick-vb'
smack-nn' smack-vb'
obstinance-nn' obstinate-vb'
surveying-nn' survey-vb'
stride-nn' stride-vb'
atomisation-nn' atomise-vb'
denationalization-nn' denationalize-vb'
catheterization-nn' catheterize-vb'
backstop-nn' backstop-vb'
misfire-nn' misfire-vb'
enthrallment-nn' enthrall-vb'
support-nn' support-vb'
civilization-nn' civilize-vb'
diving-nn' dive-vb'
tap-dance-nn' tap-dance-vb'
synthesis-nn' synthesise-vb'
persuader-nn' persuade-vb'
registrant-nn' register-vb'
undress-nn' undress-vb'
squirter-nn' squirt-vb'
poking-nn' poke-vb'
sharing-nn' share-vb'
spreader-nn' spread-vb'
soiling-nn' soil-vb'
toter-nn' tote-vb'
disjuncture-nn' disjoin-vb'
buying-nn' buy-vb'
carry-nn' carry-vb'
conditioning-nn' condition-vb'
poniard-nn' poniard-vb'
clincher-nn' clinch-vb'
compliment-nn' compliment-vb'
determiner-nn' determine-vb'
pressure-nn' press-vb'
pressure-nn' pressurise-vb'
pressure-nn' pressurize-vb'
pressure-nn' pressure-vb'
scooter-nn' scoot-vb'
playactor-nn' playact-vb'
puzzlement-nn' puzzle-vb'
damage-nn' damage-vb'
commercialisation-nn' commercialise-vb'
surfboard-nn' surfboard-vb'
lavation-nn' lave-vb'
bulletin-nn' bulletin-vb'
sibilant-nn' assibilate-vb'
sibilant-nn' sibilate-vb'
assassinator-nn' assassinate-vb'
paddler-nn' paddle-vb'
slaying-nn' slay-vb'
responder-nn' respond-vb'
widening-nn' widen-vb'
torch-nn' torch-vb'
novation-nn' novate-vb'
respecter-nn' respect-vb'
blackout-nn' black-out-vb'
jogger-nn' jog-vb'
dancer-nn' dance-vb'
greening-nn' green-vb'
discourse-nn' discourse-vb'
embarkment-nn' embark-vb'
correction-nn' correct-vb'
urination-nn' urinate-vb'
depletion-nn' deplete-vb'
ensilage-nn' ensile-vb'
grumble-nn' grumble-vb'
freewheeler-nn' freewheel-vb'
bebop-nn' bebop-vb'
dweller-nn' dwell-vb'
glaze-nn' glaze-vb'
syncopator-nn' syncopate-vb'
gibe-nn' gibe-vb'
tread-nn' tread-vb'
fizz-nn' fizz-vb'
depersonalisation-nn' depersonalise-vb'
equalizer-nn' equalize-vb'
frightening-nn' frighten-vb'
lean-nn' lean-vb'
wisecrack-nn' wisecrack-vb'
substantiation-nn' substantiate-vb'
clock-nn' clock-vb'
interment-nn' inter-vb'
shine-nn' shine-vb'
weave-nn' weave-vb'
duplicator-nn' duplicate-vb'
preacher-nn' preach-vb'
microwave-nn' microwave-vb'
acetyl-nn' acetylate-vb'
acetyl-nn' acetylize-vb'
collocation-nn' collocate-vb'
bomb-nn' bomb-vb'
pickings-nn' pick-vb'
defrayal-nn' defray-vb'
skimming-nn' skim-vb'
following-nn' follow-vb'
hatch-nn' hatch-vb'
mensuration-nn' mensurate-vb'
cache-nn' cache-vb'
paster-nn' paste-vb'
sit-up-nn' sit-up-vb'
plaiter-nn' plait-vb'
excoriation-nn' excoriate-vb'
farrowing-nn' farrow-vb'
garotte-nn' garotte-vb'
fallback-nn' fall-back-vb'
one-step-nn' one-step-vb'
farmer-nn' farm-vb'
descendant-nn' descend-vb'
denier-nn' deny-vb'
divulgement-nn' divulge-vb'
seducer-nn' seduce-vb'
deponent-nn' depone-vb'
bid-nn' bid-vb'
ferry-nn' ferry-vb'
trickery-nn' trick-vb'
enthronisation-nn' enthrone-vb'
stuffing-nn' stuff-vb'
trample-nn' trample-vb'
concertina-nn' concertina-vb'
expectancy-nn' expect-vb'
mentioner-nn' mention-vb'
controller-nn' control-vb'
tape-nn' tape-vb'
sense-nn' sensify-vb'
sense-nn' sense-vb'
ligature-nn' ligate-vb'
imprinting-nn' imprint-vb'
saver-nn' save-vb'
addict-nn' addict-vb'
handover-nn' hand-over-vb'
absentee-nn' absent-vb'
riff-nn' riff-vb'
monitor-nn' monitor-vb'
ripening-nn' ripen-vb'
denotation-nn' denote-vb'
flavorer-nn' flavor-vb'
gentrification-nn' gentrify-vb'
panel-nn' panel-vb'
waning-nn' wane-vb'
focalization-nn' focalize-vb'
turnoff-nn' turn-off-vb'
quartering-nn' quarter-vb'
make-believe-nn' make-believe-vb'
solace-nn' solace-vb'
ionisation-nn' ionise-vb'
slinging-nn' sling-vb'
modulation-nn' modulate-vb'
vendition-nn' vend-vb'
fasting-nn' fast-vb'
abetter-nn' abet-vb'
scrutiniser-nn' scrutinise-vb'
fossil-nn' fossilize-vb'
litigator-nn' litigate-vb'
speed-nn' speed-vb'
parader-nn' parade-vb'
swoop-nn' swoop-vb'
inunction-nn' inunct-vb'
kite-nn' kite-vb'
indemnification-nn' indemnify-vb'
trembling-nn' tremble-vb'
rethink-nn' rethink-vb'
engineering-nn' engineer-vb'
hydrogenation-nn' hydrogenate-vb'
splint-nn' splint-vb'
dining-nn' dine-vb'
reciprocation-nn' reciprocate-vb'
remover-nn' remove-vb'
sampler-nn' sample-vb'
scolding-nn' scold-vb'
chelation-nn' chelate-vb'
runner-nn' run-vb'
procrastination-nn' procrastinate-vb'
singing-nn' sing-vb'
circularization-nn' circularize-vb'
whirligig-nn' whirligig-vb'
hirer-nn' hire-vb'
signpost-nn' signpost-vb'
ray-nn' ray-vb'
contra-danse-nn' contra-danse-vb'
miscarriage-nn' miscarry-vb'
conceiver-nn' conceive-vb'
betrayal-nn' betray-vb'
buffer-nn' buffer-vb'
buffer-nn' buff-vb'
nose-nn' nose-vb'
wiggle-nn' wiggle-vb'
rape-nn' rape-vb'
quarantine-nn' quarantine-vb'
mould-nn' mould-vb'
depressant-nn' depress-vb'
disinterment-nn' disinter-vb'
summit-nn' summit-vb'
chart-nn' chart-vb'
resentment-nn' resent-vb'
sassing-nn' sass-vb'
constitutional-nn' constitutionalize-vb'
harvest-nn' harvest-vb'
repellent-nn' repel-vb'
parody-nn' parody-vb'
disfiguration-nn' disfigure-vb'
butyl-nn' butylate-vb'
feature-nn' feature-vb'
extent-nn' extend-vb'
gambling-nn' gamble-vb'
internment-nn' intern-vb'
jeering-nn' jeer-vb'
touter-nn' tout-vb'
flip-nn' flip-vb'
schema-nn' schematize-vb'
shirking-nn' shirk-vb'
chipping-nn' chip-vb'
plop-nn' plop-vb'
refocusing-nn' refocus-vb'
excitement-nn' excite-vb'
poster-nn' post-vb'
arbitrator-nn' arbitrate-vb'
pollen-nn' pollinate-vb'
calumny-nn' calumniate-vb'
desire-nn' desire-vb'
infix-nn' infix-vb'
nest-nn' nest-vb'
salivation-nn' salivate-vb'
station-nn' station-vb'
ruggedisation-nn' ruggedise-vb'
reform-nn' reform-vb'
knitting-nn' knit-vb'
surmise-nn' surmise-vb'
brine-nn' brine-vb'
kayak-nn' kayak-vb'
docking-nn' dock-vb'
charcoal-nn' charcoal-vb'
gold-plate-nn' gold-plate-vb'
gold-plate-nn' goldplate-vb'
spicery-nn' spice-vb'
knell-nn' knell-vb'
abridger-nn' abridge-vb'
disorganisation-nn' disorganise-vb'
consultant-nn' consult-vb'
freeing-nn' free-vb'
infusion-nn' infuse-vb'
actuation-nn' actuate-vb'
banter-nn' banter-vb'
snuff-nn' snuff-vb'
labourer-nn' labour-vb'
acclamation-nn' acclaim-vb'
horse-trading-nn' horse-trade-vb'
postulator-nn' postulate-vb'
contamination-nn' contaminate-vb'
coursing-nn' course-vb'
limiter-nn' limit-vb'
debugger-nn' debug-vb'
omission-nn' omit-vb'
evangelism-nn' evangelise-vb'
evangelism-nn' evangelize-vb'
derailment-nn' derail-vb'
vanishing-nn' vanish-vb'
recording-nn' record-vb'
beacon-nn' beacon-vb'
apostrophe-nn' apostrophise-vb'
apostrophe-nn' apostrophize-vb'
amble-nn' perambulate-vb'
amble-nn' amble-vb'
amble-nn' ambulate-vb'
calculation-nn' calculate-vb'
snorkel-nn' snorkel-vb'
swerve-nn' swerve-vb'
cobble-nn' cobble-vb'
lift-nn' lift-vb'
yeller-nn' yell-vb'
sanitization-nn' sanitize-vb'
alienator-nn' alienate-vb'
archaism-nn' archaize-vb'
archaism-nn' archaise-vb'
supporter-nn' support-vb'
inosculation-nn' inosculate-vb'
quarrying-nn' quarry-vb'
coupler-nn' couple-vb'
shuck-nn' shuck-vb'
malnourishment-nn' malnourish-vb'
scattering-nn' scatter-vb'
reactant-nn' react-vb'
blur-nn' blur-vb'
waitress-nn' waitress-vb'
quack-nn' quack-vb'
staff-nn' staff-vb'
grader-nn' grade-vb'
fight-nn' fight-vb'
prop-nn' prop-vb'
scaffolding-nn' scaffold-vb'
pinion-nn' pinion-vb'
ammonia-nn' ammoniate-vb'
march-nn' march-vb'
divide-nn' divide-vb'
cheek-nn' cheek-vb'
abstinence-nn' abstain-vb'
dissenter-nn' dissent-vb'
substitute-nn' substitute-vb'
chicane-nn' chicane-vb'
exemption-nn' exempt-vb'
suppuration-nn' suppurate-vb'
convalescent-nn' convalesce-vb'
wavering-nn' waver-vb'
prognostication-nn' prognosticate-vb'
chant-nn' chant-vb'
odour-nn' odourise-vb'
ester-nn' esterify-vb'
snail-nn' snail-vb'
arbitrament-nn' arbitrate-vb'
calculator-nn' calculate-vb'
mussitation-nn' mussitate-vb'
hobble-nn' hobble-vb'
stash-nn' stash-vb'
transformer-nn' transform-vb'
pesterer-nn' pester-vb'
preformation-nn' preform-vb'
sparkling-nn' sparkle-vb'
pretend-nn' pretend-vb'
galvanization-nn' galvanize-vb'
shopping-nn' shop-vb'
clamour-nn' clamour-vb'
reformist-nn' reform-vb'
tailgater-nn' tailgate-vb'
itemization-nn' itemize-vb'
whipsaw-nn' whipsaw-vb'
smirker-nn' smirk-vb'
polishing-nn' polish-vb'
clowning-nn' clown-vb'
imprisonment-nn' imprison-vb'
white-nn' white-vb'
wiring-nn' wire-vb'
shellac-nn' shellac-vb'
premiere-nn' premiere-vb'
bargain-nn' bargain-vb'
suspect-nn' suspect-vb'
oxidiser-nn' oxidise-vb'
rummage-nn' rummage-vb'
doer-nn' do-vb'
amazement-nn' amaze-vb'
remnant-nn' remain-vb'
portrait-nn' portray-vb'
paltering-nn' palter-vb'
batter-nn' bat-vb'
waver-nn' wave-vb'
waver-nn' waver-vb'
slop-nn' slop-vb'
vowel-nn' vowelize-vb'
singalong-nn' sing-along-vb'
nag-nn' nag-vb'
irruption-nn' irrupt-vb'
crying-nn' cry-vb'
castigation-nn' castigate-vb'
itching-nn' itch-vb'
tracer-nn' trace-vb'
comb-nn' comb-vb'
relinquishing-nn' relinquish-vb'
dyeing-nn' dye-vb'
squeaker-nn' squeak-vb'
festination-nn' festinate-vb'
break-nn' break-vb'
unfolding-nn' unfold-vb'
misplacement-nn' misplace-vb'
subsidiser-nn' subsidise-vb'
bobsled-nn' bobsled-vb'
conscript-nn' conscript-vb'
harasser-nn' harass-vb'
adjunction-nn' adjoin-vb'
execration-nn' execrate-vb'
hideout-nn' hide-out-vb'
slope-nn' slope-vb'
transcendence-nn' transcend-vb'
theorisation-nn' theorise-vb'
flashing-nn' flash-vb'
clog-nn' clog-vb'
lobbyist-nn' lobby-vb'
quarrel-nn' quarrel-vb'
sneer-nn' sneer-vb'
threader-nn' thread-vb'
gilder-nn' gild-vb'
write-down-nn' write-down-vb'
litterer-nn' litter-vb'
weekend-nn' weekend-vb'
paint-nn' paint-vb'
popping-nn' pop-vb'
ambler-nn' amble-vb'
illumination-nn' illuminate-vb'
domination-nn' dominate-vb'
disaffection-nn' disaffect-vb'
celebration-nn' celebrate-vb'
spirit-nn' spirit-vb'
spirit-nn' spiritize-vb'
subluxation-nn' subluxate-vb'
granter-nn' grant-vb'
advisement-nn' advise-vb'
toying-nn' toy-vb'
demolition-nn' demolish-vb'
redemption-nn' redeem-vb'
amendment-nn' amend-vb'
sectionalization-nn' sectionalize-vb'
subdivision-nn' subdivide-vb'
extolment-nn' extol-vb'
section-nn' section-vb'
sniveling-nn' snivel-vb'
embalmer-nn' embalm-vb'
proselyte-nn' proselytize-vb'
printer-nn' print-vb'
mint-nn' mint-vb'
sacking-nn' sack-vb'
crocheting-nn' crochet-vb'
farm-nn' farm-vb'
disobedience-nn' disobey-vb'
leafage-nn' leaf-vb'
intimidation-nn' intimidate-vb'
foreboding-nn' forebode-vb'
soil-nn' soil-vb'
worrier-nn' worry-vb'
fluoridisation-nn' fluoridise-vb'
printing-nn' print-vb'
dowser-nn' dowse-vb'
remitment-nn' remit-vb'
phrasing-nn' phrase-vb'
belief-nn' believe-vb'
dope-nn' dope-vb'
meander-nn' meander-vb'
revealing-nn' reveal-vb'
seepage-nn' seep-vb'
soakage-nn' soak-vb'
abbreviator-nn' abbreviate-vb'
disarmament-nn' disarm-vb'
scammer-nn' scam-vb'
bustle-nn' bustle-vb'
commercialization-nn' commercialize-vb'
chirp-nn' chirp-vb'
distention-nn' distend-vb'
toss-nn' toss-vb'
sightreader-nn' sightread-vb'
fancy-nn' fancy-vb'
pollination-nn' pollinate-vb'
paw-nn' paw-vb'
spool-nn' spool-vb'
gloat-nn' gloat-vb'
serenade-nn' serenade-vb'
ruby-nn' rubify-vb'
digit-nn' digitalize-vb'
digit-nn' digitise-vb'
digit-nn' digitize-vb'
getup-nn' get-up-vb'
dispatcher-nn' dispatch-vb'
rester-nn' rest-vb'
fitter-nn' fit-vb'
buy-nn' buy-vb'
amplifier-nn' amplify-vb'
airbrush-nn' airbrush-vb'
bank-nn' bank-vb'
disfavour-nn' disfavour-vb'
exuberance-nn' exuberate-vb'
wait-nn' wait-vb'
tapper-nn' tap-vb'
declarer-nn' declare-vb'
encouragement-nn' encourage-vb'
inspector-nn' inspect-vb'
joyride-nn' joyride-vb'
default-nn' default-vb'
face-lifting-nn' face-lift-vb'
prejudice-nn' prejudice-vb'
squat-nn' squat-vb'
yawning-nn' yawn-vb'
programme-nn' programme-vb'
merchandiser-nn' merchandise-vb'
gravure-nn' engrave-vb'
detonator-nn' detonate-vb'
acclimatisation-nn' acclimatise-vb'
breed-nn' breed-vb'
factor-analysis-nn' factor-analyze-vb'
pique-nn' pique-vb'
ebony-nn' ebonize-vb'
chomp-nn' chomp-vb'
insulant-nn' insulate-vb'
product-nn' produce-vb'
mollification-nn' mollify-vb'
enclosure-nn' enclose-vb'
imprecation-nn' imprecate-vb'
cartoonist-nn' cartoon-vb'
processor-nn' process-vb'
creep-nn' creep-vb'
quickstep-nn' quickstep-vb'
mothball-nn' mothball-vb'
baste-nn' baste-vb'
contribution-nn' contribute-vb'
numeration-nn' numerate-vb'
whistler-nn' whistle-vb'
divergency-nn' diverge-vb'
term-nn' term-vb'
roofing-nn' roof-vb'
interrogator-nn' interrogate-vb'
pagination-nn' paginate-vb'
shock-nn' shock-vb'
boost-nn' boost-vb'
deity-nn' deify-vb'
vilification-nn' vilify-vb'
dupe-nn' dupe-vb'
inhalation-nn' inhale-vb'
philanderer-nn' philander-vb'
ingestion-nn' ingest-vb'
intuition-nn' intuit-vb'
cross-question-nn' cross-question-vb'
comfort-nn' comfort-vb'
navigation-nn' navigate-vb'
sealant-nn' seal-vb'
grilling-nn' grill-vb'
allocator-nn' allocate-vb'
writer-nn' write-vb'
closing-nn' close-vb'
interlude-nn' interlude-vb'
opinion-nn' opine-vb'
dunk-nn' dunk-vb'
commixture-nn' commix-vb'
drainage-nn' drain-vb'
notification-nn' notify-vb'
garrotter-nn' garrotte-vb'
adjudicator-nn' adjudicate-vb'
kern-nn' kern-vb'
cuddling-nn' cuddle-vb'
allegory-nn' allegorise-vb'
allegory-nn' allegorize-vb'
quiz-nn' quiz-vb'
disassociation-nn' disassociate-vb'
misgovernment-nn' misgovern-vb'
remark-nn' remark-vb'
introject-nn' introject-vb'
stratum-nn' stratify-vb'
warranter-nn' warrant-vb'
upending-nn' upend-vb'
transaction-nn' transact-vb'
lead-nn' lead-vb'
decoding-nn' decode-vb'
stack-nn' stack-vb'
prattler-nn' prattle-vb'
importing-nn' import-vb'
floater-nn' float-vb'
loiterer-nn' loiter-vb'
consideration-nn' consider-vb'
gap-nn' gap-vb'
recounting-nn' recount-vb'
level-nn' level-vb'
palpitation-nn' palpitate-vb'
fare-nn' fare-vb'
drudgery-nn' drudge-vb'
degradation-nn' degrade-vb'
compare-nn' compare-vb'
tranquilizer-nn' tranquilize-vb'
sulphur-nn' sulphur-vb'
hunger-nn' hunger-vb'
neighbor-nn' neighbor-vb'
causation-nn' cause-vb'
hitch-nn' hitch-vb'
protection-nn' protect-vb'
turner-nn' turn-vb'
droop-nn' droop-vb'
coding-nn' code-vb'
allurement-nn' allure-vb'
mumble-nn' mumble-vb'
peace-nn' pacify-vb'
walkabout-nn' walk-about-vb'
allotment-nn' allot-vb'
coalition-nn' coalesce-vb'
subdivider-nn' subdivide-vb'
preordination-nn' preordain-vb'
spoonfeeding-nn' spoonfeed-vb'
smoke-nn' smoke-vb'
enragement-nn' enrage-vb'
screen-nn' screen-vb'
hoover-nn' hoover-vb'
drop-off-nn' drop-off-vb'
crawler-nn' crawl-vb'
surface-nn' surface-vb'
snivel-nn' snivel-vb'
wrench-nn' wrench-vb'
array-nn' array-vb'
camper-nn' camp-vb'
study-nn' study-vb'
prevention-nn' prevent-vb'
paddle-nn' paddle-vb'
function-nn' function-vb'
shoplifter-nn' shoplift-vb'
tamp-nn' tamp-vb'
rhyme-nn' rhyme-vb'
branch-nn' branch-vb'
jogging-nn' jog-vb'
print-nn' print-vb'
armor-nn' armor-vb'
armor-nn' arm-vb'
bowdlerization-nn' bowdlerize-vb'
credit-nn' credit-vb'
deriving-nn' derive-vb'
bolster-nn' bolster-vb'
slobberer-nn' slobber-vb'
ballast-nn' ballast-vb'
place-kicker-nn' place-kick-vb'
earmark-nn' earmark-vb'
roast-nn' roast-vb'
wreckage-nn' wreck-vb'
survivor-nn' survive-vb'
causeway-nn' causeway-vb'
nitrous-acid-nn' nitrify-vb'
shoplifting-nn' shoplift-vb'
yodeling-nn' yodel-vb'
distrust-nn' distrust-vb'
development-nn' develop-vb'
enjoining-nn' enjoin-vb'
counter-nn' counter-vb'
counter-nn' count-vb'
finder-nn' find-vb'
syncopation-nn' syncopate-vb'
gloss-nn' gloss-vb'
belongings-nn' belong-vb'
haunt-nn' haunt-vb'
surtax-nn' surtax-vb'
rescue-nn' rescue-vb'
buss-nn' buss-vb'
perforation-nn' perforate-vb'
mutilator-nn' mutilate-vb'
coaching-nn' coach-vb'
picking-nn' pick-vb'
taper-nn' taper-vb'
worshipper-nn' worship-vb'
prick-nn' prick-vb'
eulogy-nn' eulogise-vb'
eulogy-nn' eulogize-vb'
wholesaler-nn' wholesale-vb'
precedent-nn' precede-vb'
regularization-nn' regularize-vb'
plank-nn' plank-vb'
leverage-nn' leverage-vb'
leverage-nn' lever-vb'
concordance-nn' concord-vb'
clampdown-nn' clamp-down-vb'
eraser-nn' erase-vb'
cultivator-nn' cultivate-vb'
collimation-nn' collimate-vb'
tribulation-nn' tribulate-vb'
assist-nn' assist-vb'
taking-nn' take-vb'
streamliner-nn' streamline-vb'
cartwheel-nn' cartwheel-vb'
whittler-nn' whittle-vb'
freightage-nn' freight-vb'
burner-nn' burn-vb'
curve-nn' curve-vb'
flavouring-nn' flavour-vb'
elaboration-nn' elaborate-vb'
mobilisation-nn' mobilise-vb'
devaluation-nn' devalue-vb'
devaluation-nn' devaluate-vb'
visualizer-nn' visualize-vb'
asphyxiation-nn' asphyxiate-vb'
pander-nn' pander-vb'
solid-nn' solidify-vb'
stringer-nn' string-vb'
antique-nn' antique-vb'
antique-nn' antiquate-vb'
peddler-nn' peddle-vb'
annihilator-nn' annihilate-vb'
rammer-nn' ram-vb'
incorporation-nn' incorporate-vb'
buyout-nn' buy-out-vb'
downer-nn' down-vb'
suffix-nn' suffix-vb'
economy-nn' economize-vb'
solidification-nn' solidify-vb'
command-nn' command-vb'
sketcher-nn' sketch-vb'
judiciary-nn' judge-vb'
flowing-nn' flow-vb'
parolee-nn' parole-vb'
traverse-nn' traverse-vb'
repetition-nn' repeat-vb'
suntan-nn' suntan-vb'
grower-nn' grow-vb'
matriculate-nn' matriculate-vb'
scorer-nn' score-vb'
barbarisation-nn' barbarise-vb'
swing-nn' swing-vb'
description-nn' describe-vb'
dilation-nn' dilate-vb'
blow-nn' blow-vb'
combat-nn' combat-vb'
appointee-nn' appoint-vb'
ooze-nn' ooze-vb'
glow-nn' glow-vb'
distributer-nn' distribute-vb'
barker-nn' bark-vb'
forbidding-nn' forbid-vb'
troller-nn' troll-vb'
crystal-nn' crystalize-vb'
crystal-nn' crystallize-vb'
trembler-nn' tremble-vb'
suppliant-nn' supplicate-vb'
blister-nn' blister-vb'
avalanche-nn' avalanche-vb'
putting-nn' putt-vb'
flexure-nn' flex-vb'
enquiry-nn' enquire-vb'
deference-nn' defer-vb'
racer-nn' race-vb'
dread-nn' dread-vb'
overturn-nn' overturn-vb'
sandpaper-nn' sandpaper-vb'
slit-nn' slit-vb'
finalisation-nn' finalise-vb'
concussion-nn' concuss-vb'
quaffer-nn' quaff-vb'
thwarting-nn' thwart-vb'
desynchronization-nn' desynchronize-vb'
advancement-nn' advance-vb'
puddler-nn' puddle-vb'
solvent-nn' solvate-vb'
solvent-nn' solve-vb'
stock-nn' stock-vb'
wound-nn' wound-vb'
apology-nn' apologise-vb'
apology-nn' apologize-vb'
stagnancy-nn' stagnate-vb'
crease-nn' crease-vb'
lavage-nn' lave-vb'
focussing-nn' focus-vb'
antagonism-nn' antagonise-vb'
antagonism-nn' antagonize-vb'
putoff-nn' put-off-vb'
deportee-nn' deport-vb'
twitterer-nn' twitter-vb'
crisp-nn' crisp-vb'
colonisation-nn' colonise-vb'
tenure-nn' tenure-vb'
percolation-nn' percolate-vb'
hoist-nn' hoist-vb'
certificate-nn' certificate-vb'
certificate-nn' certify-vb'
boaster-nn' boast-vb'
husking-nn' husk-vb'
hunter-nn' hunt-vb'
suspiration-nn' suspire-vb'
whine-nn' whine-vb'
indexation-nn' index-vb'
guy-nn' guy-vb'
industrialism-nn' industrialize-vb'
industrialism-nn' industrialise-vb'
infringement-nn' infringe-vb'
milk-nn' milk-vb'
tender-nn' tend-vb'
tender-nn' tender-vb'
discount-nn' discount-vb'
gamble-nn' gamble-vb'
freckle-nn' freckle-vb'
face-nn' face-vb'
scroll-nn' scroll-vb'
squeal-nn' squeal-vb'
tower-nn' tow-vb'
tower-nn' tower-vb'
rejoicing-nn' rejoice-vb'
sabotage-nn' sabotage-vb'
quaker-nn' quake-vb'
effacement-nn' efface-vb'
winner-nn' win-vb'
inset-nn' inset-vb'
froth-nn' froth-vb'
christianisation-nn' christianise-vb'
assimilator-nn' assimilate-vb'
translocation-nn' translocate-vb'
prostitution-nn' prostitute-vb'
moistening-nn' moisten-vb'
absolution-nn' absolve-vb'
borer-nn' bore-vb'
scorch-nn' scorch-vb'
inculcation-nn' inculcate-vb'
benefaction-nn' benefact-vb'
fire-nn' fire-vb'
padlock-nn' padlock-vb'
straining-nn' strain-vb'
manoeuvre-nn' manoeuvre-vb'
veering-nn' veer-vb'
mock-nn' mock-vb'
flasher-nn' flash-vb'
fishery-nn' fish-vb'
freeze-nn' freeze-vb'
concern-nn' concern-vb'
solemnization-nn' solemnize-vb'
crusher-nn' crush-vb'
obfuscation-nn' obfuscate-vb'
stymie-nn' stymie-vb'
carper-nn' carp-vb'
revetment-nn' revet-vb'
seizer-nn' seize-vb'
aviation-nn' aviate-vb'
taunting-nn' taunt-vb'
furrow-nn' furrow-vb'
roneo-nn' roneo-vb'
nitrification-nn' nitrify-vb'
flinch-nn' flinch-vb'
retrospection-nn' retrospect-vb'
record-nn' record-vb'
blitz-nn' blitz-vb'
gyration-nn' gyrate-vb'
deconstruction-nn' deconstruct-vb'
calender-nn' calender-vb'
challenger-nn' challenge-vb'
interaction-nn' interact-vb'
fashioning-nn' fashion-vb'
rib-nn' rib-vb'
tie-up-nn' tie-up-vb'
clangor-nn' clangor-vb'
clangor-nn' clang-vb'
postulation-nn' postulate-vb'
aim-nn' aim-vb'
stalling-nn' stall-vb'
supporting-nn' support-vb'
fryer-nn' fry-vb'
mender-nn' mend-vb'
disseminator-nn' disseminate-vb'
digestion-nn' digest-vb'
bombing-nn' bomb-vb'
alkali-nn' alkalize-vb'
alkali-nn' alkalify-vb'
merging-nn' merge-vb'
reduction-nn' reduce-vb'
paste-nn' paste-vb'
disagreement-nn' disagree-vb'
laggard-nn' lag-vb'
misestimation-nn' misestimate-vb'
disruption-nn' disrupt-vb'
scrapper-nn' scrap-vb'
delivery-nn' deliver-vb'
impediment-nn' impede-vb'
raiment-nn' raiment-vb'
vacillation-nn' vacillate-vb'
deciding-nn' decide-vb'
oiler-nn' oil-vb'
vandal-nn' vandalize-vb'
vandal-nn' vandalise-vb'
leaper-nn' leap-vb'
tear-nn' tear-vb'
prearrangement-nn' prearrange-vb'
bar-nn' bar-vb'
warmer-nn' warm-vb'
bowdlerisation-nn' bowdlerise-vb'
circumnavigation-nn' circumnavigate-vb'
plate-nn' plate-vb'
candle-nn' candle-vb'
convocation-nn' convoke-vb'
reputation-nn' repute-vb'
luging-nn' luge-vb'
fornicator-nn' fornicate-vb'
rivalry-nn' rival-vb'
lope-nn' lope-vb'
womaniser-nn' womanise-vb'
motoring-nn' motor-vb'
precedency-nn' precede-vb'
wangler-nn' wangle-vb'
pretense-nn' pretend-vb'
dandy-nn' dandify-vb'
boogie-nn' boogie-vb'
lump-nn' lump-vb'
pother-nn' pother-vb'
district-nn' district-vb'
sprain-nn' sprain-vb'
procedure-nn' proceed-vb'
eating-nn' eat-vb'
observer-nn' observe-vb'
magnet-nn' magnetise-vb'
magnet-nn' magnetize-vb'
chisel-nn' chisel-vb'
jostle-nn' jostle-vb'
raveling-nn' ravel-vb'
admonition-nn' admonish-vb'
rerun-nn' rerun-vb'
reappraisal-nn' reappraise-vb'
frown-nn' frown-vb'
castling-nn' castle-vb'
stone-nn' stone-vb'
saddle-nn' saddle-vb'
savoring-nn' savor-vb'
lookout-nn' look-out-vb'
emission-nn' emit-vb'
nationalization-nn' nationalize-vb'
construal-nn' construe-vb'
sender-nn' send-vb'
gibber-nn' gibber-vb'
adaptor-nn' adapt-vb'
reparation-nn' repair-vb'
discounter-nn' discount-vb'
rot-nn' rot-vb'
lamb-nn' lamb-vb'
demonstrator-nn' demonstrate-vb'
cybernation-nn' cybernate-vb'
quelling-nn' quell-vb'
fold-nn' fold-vb'
cohesion-nn' cohere-vb'
disembarkment-nn' disembark-vb'
wattle-nn' wattle-vb'
jailer-nn' jail-vb'
watch-nn' watch-vb'
plumb-nn' plumb-vb'
do-gooder-nn' do-good-vb'
allowance-nn' allow-vb'
allowance-nn' allowance-vb'
voter-nn' vote-vb'
vanquisher-nn' vanquish-vb'
underachiever-nn' underachieve-vb'
stimulation-nn' stimulate-vb'
quenching-nn' quench-vb'
flail-nn' flail-vb'
saponification-nn' saponify-vb'
